emoji_id,emoji_name,asset_path,animation_path,has_static_asset,has_animation_asset,category
0,惊讶,assets/qq_emoji/0/png/0.png,assets/qq_emoji/0/apng/0.png,Yes,Yes,qqnt
1,撇嘴,assets/qq_emoji/1/png/1.png,assets/qq_emoji/1/apng/1.png,Yes,Yes,qqnt
2,色,assets/qq_emoji/2/png/2.png,assets/qq_emoji/2/apng/2.png,Yes,Yes,qqnt
3,发呆,assets/qq_emoji/3/png/3.png,assets/qq_emoji/3/apng/3.png,Yes,Yes,qqnt
4,得意,assets/qq_emoji/4/png/4.png,assets/qq_emoji/4/apng/4.png,Yes,Yes,qqnt
5,流泪,assets/qq_emoji/5/png/5.png,assets/qq_emoji/5/apng/5.png,Yes,Yes,qqnt
6,害羞,assets/qq_emoji/6/png/6.png,assets/qq_emoji/6/apng/6.png,Yes,Yes,qqnt
7,闭嘴,assets/qq_emoji/7/png/7.png,assets/qq_emoji/7/apng/7.png,Yes,Yes,qqnt
8,睡,assets/qq_emoji/8/png/8.png,assets/qq_emoji/8/apng/8.png,Yes,Yes,qqnt
9,大哭,assets/qq_emoji/9/png/9.png,assets/qq_emoji/9/apng/9.png,Yes,Yes,qqnt
10,尴尬,assets/qq_emoji/10/png/10.png,assets/qq_emoji/10/apng/10.png,Yes,Yes,qqnt
11,发怒,assets/qq_emoji/11/png/11.png,assets/qq_emoji/11/apng/11.png,Yes,Yes,qqnt
12,调皮,assets/qq_emoji/12/png/12.png,assets/qq_emoji/12/apng/12.png,Yes,Yes,qqnt
13,呲牙,assets/qq_emoji/13/png/13.png,assets/qq_emoji/13/apng/13.png,Yes,Yes,qqnt
14,微笑,assets/qq_emoji/14/png/14.png,assets/qq_emoji/14/apng/14.png,Yes,Yes,qqnt
15,难过,assets/qq_emoji/15/png/15.png,assets/qq_emoji/15/apng/15.png,Yes,Yes,qqnt
16,酷,assets/qq_emoji/16/png/16.png,assets/qq_emoji/16/apng/16.png,Yes,Yes,qqnt
18,抓狂,assets/qq_emoji/18/png/18.png,assets/qq_emoji/18/apng/18.png,Yes,Yes,qqnt
